Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21965107,The Children Act,Ian McEwan,"McEwan, Ian",,0385539703,9780385539708,0,3.72,Nan A. Talese,Hardcover,221,2014,2014,,2/7/21,to-read,to-read (#117),to-read,,,,0,0
543583,In and Out of Vogue,Grace Mirabella,"Mirabella, Grace",,0385426135,9780385426138,0,3.67,DoubleDay,Hardcover,257,1995,1995,,1/25/21,to-read,to-read (#116),to-read,,,,0,0
55518780,Ace of Spades,Faridah Àbíké-Íyímídé,"Àbíké-Íyímídé, Faridah",,1250800811,9781250800817,0,4.23,Feiwel & Friends,Hardcover,432,2021,2021,,12/27/20,to-read,to-read (#93),to-read,,,,0,0
42815544,Bunny,Mona Awad,"Awad, Mona",,0525559736,9780525559733,0,3.57,Viking,Hardcover,307,2019,2019,,1/18/21,to-read,to-read (#115),to-read,,,,0,0
51822833,The Lightness,Emily  Temple,"Temple, Emily",,0062905325,9780062905321,0,3.42,William Morrow,Hardcover,288,2020,2020,,1/18/21,to-read,to-read (#114),to-read,,,,0,0
50175419,Exciting Times,Naoise Dolan,"Dolan, Naoise",,0062968742,9780062968746,0,3.27,Ecco,Hardcover,243,2020,2020,,1/18/21,to-read,to-read (#113),to-read,,,,0,0
52334565,Kokomo,Victoria Hannan,"Hannan, Victoria",,,,0,3.59,Hachette Australia,Kindle Edition,235,2020,2020,,1/18/21,to-read,to-read (#112),to-read,,,,0,0
50788186,Sisters,Daisy Johnson,"Johnson, Daisy",,0593188950,9780593188958,0,3.48,Riverhead Books,Hardcover,224,2020,2020,,1/18/21,to-read,to-read (#111),to-read,,,,0,0
40235456,The All-Night Sun,Diane Zinna,"Zinna, Diane",,198485416X,9781984854162,0,3.69,Random House,Hardcover,336,2020,2020,,1/18/21,to-read,to-read (#110),to-read,,,,0,0
53717123,The End of Men,Christina Sweeney-Baird,"Sweeney-Baird, Christina",,0385696639,9780385696630,0,3.81,Doubleday Canada,Paperback,416,2021,2021,,1/18/21,to-read,to-read (#109),to-read,,,,0,0
39988431,"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty,"Chakraborty, S.A.",,0008239444,9780008239442,0,4.4,Voyager GB,Hardcover,625,2019,2019,,1/15/21,to-read,to-read (#108),to-read,,,,0,0
43586638,The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good,Elizabeth L. Cline,"Cline, Elizabeth L.",,1524744301,9781524744304,0,4.04,Plume Books,Paperback,348,2019,2019,,5/1/20,social-causes,social-causes (#15),read,,,,1,0
43301353,The Space Between Worlds,Micaiah Johnson,"Johnson, Micaiah",,,,0,3.96,Crown,,336,2020,2020,,1/12/21,to-read,to-read (#106),to-read,,,,0,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,1631496700,9781631496707,0,4.18,Liveright,Hardcover,163,2020,2016,,1/12/21,to-read,to-read (#105),to-read,,,,0,0
36436100,Notes on Camp,Susan Sontag,"Sontag, Susan",,0241339707,9780241339701,0,3.95,Penguin Classics,Paperback,55,2018,1964,,1/7/21,to-read,to-read (#104),to-read,,,,0,0
41886271,The Sword of Kaigen: A Theonite War Story,M.L.  Wang,"Wang, M.L.",,,,0,4.46,M.L. Wang,Kindle Edition,559,2019,2018,,1/4/21,to-read,to-read (#103),to-read,,,,0,0
104089,Tigana,Guy Gavriel Kay,"Kay, Guy Gavriel",,0451457765,9780451457769,0,4.09,Roc,Paperback,676,1999,1990,,1/4/21,to-read,to-read (#102),to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,0446675504,9780446675505,0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,1/4/21,to-read,to-read (#101),to-read,,,,0,0
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,,,0,4.3,Self-published,ebook,688,2009,2009,,1/4/21,to-read,to-read (#100),to-read,,,,0,0
42771901,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,1612197493,9781612197494,0,3.72,Melville House,Hardcover,232,2019,2019,,1/3/21,to-read,to-read (#99),to-read,,,,0,0
45553600,Second First Impressions,Sally  Thorne,"Thorne, Sally",,0063007134,9780063007130,0,3.58,William Morrow,Hardcover,352,2021,2021,,1/3/21,to-read,to-read (#98),to-read,,,,0,0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,1473217857,9781473217850,0,4.49,Gollancz,Hardcover,513,2018,2018,,12/31/20,to-read,to-read (#97),to-read,,,,0,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,055357339X,9780553573398,0,4.17,Spectra Books,Mass Market Paperback,435,1996,1995,,12/31/20,to-read,to-read (#96),to-read,,,,0,0
50892338,"Legendborn (Legendborn, #1)",Tracy Deonn,"Deonn, Tracy",,1534441603,9781534441606,0,4.41,Margaret K. McElderry Books,Hardcover,501,2020,2020,,12/31/20,to-read,to-read (#95),to-read,,,,0,0
20174424,"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,080413717X,9780804137171,0,4.09,Broadway Books,Paperback,452,2014,2014,,12/31/20,to-read,to-read (#94),to-read,,,,0,0
22571521,The Asylum: True Tales of Madness from a Life in Fashion,Simon Doonan,"Doonan, Simon",,0399173714,9780399173714,0,3.52,Blue Rider Press,Paperback,288,2015,2013,,12/13/20,to-read,to-read (#89),to-read,,,,0,0
49048998,Modesty: A Fashion Paradox,Hafsa Lodi,"Lodi, Hafsa",,,9781911107262,0,3.81,Neem Tree Press,,288,2020,2020,,12/13/20,to-read,to-read (#90),to-read,,,,0,0
18693595,Gods and Kings: The Rise and Fall of Alexander McQueen and John Galliano,Dana Thomas,"Thomas, Dana",,1594204942,9781594204944,0,4.15,Penguin Press,Hardcover,432,2015,2014,,12/13/20,to-read,to-read (#91),to-read,,,,0,0
41118857,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,,,0,4.39,Harper Voyager,Hardcover,658,2019,2019,,10/19/20,to-read,to-read (#87),to-read,,,,0,0
